File name: TAM_Wiki_77_ne_col.txt, sentences: 53, tokens: 662
File name: TAM_Wiki_55_ne_col.txt, sentences: 72, tokens: 1156
File name: TAM_Wiki_49_ne_col.txt, sentences: 77, tokens: 796
File name: TAM_Wiki_58_ne_col.txt, sentences: 55, tokens: 774
File name: TAM_Wiki_44_ne_col.txt, sentences: 250, tokens: 3636
File name: TAM_Wiki_73_ne_col.txt, sentences: 93, tokens: 1470
File name: TAM_Wiki_26_ne_col.txt, sentences: 50, tokens: 642
File name: TAM_Wiki_11_ne_col.txt, sentences: 52, tokens: 650
File name: TAM_Wiki_76_ne_col.txt, sentences: 78, tokens: 1238
File name: TAM_Wiki_41_ne_col.txt, sentences: 64, tokens: 1308
File name: TAM_Wiki_14_ne_col.txt, sentences: 58, tokens: 634
File name: TAM_Wiki_23_ne_col.txt, sentences: 59, tokens: 856
File name: TAM_Wiki_32_ne_col.txt, sentences: 52, tokens: 754
File name: TAM_Wiki_4_ne_col.txt, sentences: 71, tokens: 758
File name: TAM_Wiki_50_ne_col.txt, sentences: 90, tokens: 1304
File name: TAM_Wiki_67_ne_col.txt, sentences: 83, tokens: 1229
File name: TAM_Wiki_19_ne_col.txt, sentences: 90, tokens: 1545
File name: TAM_Wiki_29_ne_col.txt, sentences: 90, tokens: 1326
File name: TAM_Wiki_3_ne_col.txt, sentences: 88, tokens: 948
File name: TAM_Wiki_35_ne_col.txt, sentences: 47, tokens: 781
File name: TAM_Wiki_57_ne_col.txt, sentences: 35, tokens: 719
File name: TAM_Wiki_60_ne_col.txt, sentences: 168, tokens: 2246
File name: TAM_Wiki_71_ne_col.txt, sentences: 111, tokens: 1654
File name: TAM_Wiki_46_ne_col.txt, sentences: 61, tokens: 835
File name: TAM_Wiki_13_ne_col.txt, sentences: 202, tokens: 2196
File name: TAM_Wiki_24_ne_col.txt, sentences: 68, tokens: 797
File name: TAM_Wiki_38_ne_col.txt, sentences: 154, tokens: 2051
File name: TAM_Wiki_43_ne_col.txt, sentences: 92, tokens: 1318
File name: TAM_Wiki_74_ne_col.txt, sentences: 42, tokens: 751
File name: TAM_Wiki_21_ne_col.txt, sentences: 266, tokens: 4227
File name: TAM_Wiki_16_ne_col.txt, sentences: 113, tokens: 1363
File name: TAM_Wiki_68_ne_col.txt, sentences: 53, tokens: 1297
File name: TAM_Wiki_30_ne_col.txt, sentences: 47, tokens: 680
File name: TAM_Wiki_6_ne_col.txt, sentences: 51, tokens: 790
File name: TAM_Wiki_65_ne_col.txt, sentences: 69, tokens: 732
File name: TAM_Wiki_52_ne_col.txt, sentences: 129, tokens: 1457
Aggregate number of sentences: 6642, tokens: 94385
All tags:  Counter({'o': 83303, 'PERSON': 2619, 'LOCATION': 2206, 'COUNT': 1197, 'YEAR': 1134, 'MATERIALS': 610, 'ARTIFACT': 601, 'LIVTHINGS': 416, 'PERIOD': 373, 'ORGANIZATION': 368, 'MONTH': 256, 'TIME': 208, 'DATE': 160, 'QUANTITY': 154, 'ENTERTAINMENT': 145, 'DISTANCE': 140, 'LOCOMOTIVE': 123, 'FACILITIES': 105, 'PLANTS': 100, 'DAY': 52, 'MONEY': 47, 'DISEASE': 42, 'SDAY': 23, 'ENAMEX': 3})
Train sentences:  4418
Dev sentences:  1105
Test sentences:  1105
All tags:  Counter({'PER': 1308, 'LOC': 1116, 'ORG': 125})
All tags:  Counter({'PER': 351, 'LOC': 324, 'ORG': 37})
All tags:  Counter({'LOC': 334, 'PER': 304, 'ORG': 47})
